Centigor Warhoof,,,1,,100,
Khazrak the One-Eye,,Unique,1,,120,
Malagor the Dark Omen,,Unique,1,,120,
Morghur Master of Skulls,,Unique,1,,120,
Beastlord on Chariot,,,1,,180,
Wargor Standard Bearer,,,1,,80,
Beastlord,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-beastlord-en.pdf,Brayherd,1,,80,
Bestigors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bestigors-en.pdf,Brayherd - Brayherd Battleline,10,30,140,360
Great Bray-shaman,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-great-bray-shaman-en.pdf,Brayherd,1,,90,
Tuskgor Chariots,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-tuskgor-chariot-en.pdf,Brayherd,1,4,60,
Gors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-gors-en.pdf,Brayherd - Battleline,10,30,80,210
Ungors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-ungors-en.pdf,Brayherd - Battleline,10,40,60,200
Ungor Raiders,,Brayherd - Brayherd Battleline,10,40,100,360
Blood Host of Khorne,,Battalion,Formation,,220,
Blood Hunt,,Battalion,Formation,,130,
The Bloodlords,,Battalion,Formation,,140,
Bloodthunder Stampede,,Battalion,Formation,,180,
Charnel Host,,Battalion,Formation,,140,
Council of Blood,,Battalion,Formation,,110,
Daemon Legion of Khorne,,Battalion,Formation,,160,
Gorethunder Cohort,,Battalion,Formation,,110,
Murderhost,,Battalion,Formation,,120,
The Reapers of Vengeance,,Battalion,Formation,,140,
Skullseeker Host,,Battalion,Formation,,140,
Daemon Cohort of Khorne,,Battalion,Formation,,80,
Blood Throne,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-khorne-bloodthrone-en.pdf,Khorne Daemon,1,,120,
Bloodmaster Herald of Khorne,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bloodmaster-en.pdf,Khorne Daemon,1,,80,
Karanak,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-karanak-en.pdf,Khorne Daemon,1,,100,
Skullmaster Herald of Khorne,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skullmaster-en.pdf,Khorne Daemon,1,,100,
Skulltaker,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skulltaker-en.pdf,Khorne Daemon,1,,100,
Skull Cannons,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-khorne-skullcannon-en.pdf,Khorne Daemon - Artillery,1,,160,
Bloodletters,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-khorne-bloodletters-en.pdf,Khorne Daemon - Battleline,10,30,110,270
Bloodthirster of Insensate Rage,,Khorne Daemon - Behemoth,1,,260,
Bloodthirster of Unfettered Fury,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls//aos-warscroll-khorne-bloodthirster-en.pdf,Khorne Daemon - Behemoth,1,,260,
Skarbrand,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-scarbrand-en.pdf,Khorne Daemon - Behemoth,1,,400,
Wrath of Khorne Bloodthirster,,Khorne Daemon - Behemoth,1,,330,
Flesh Hounds,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-flesh-hounds-en.pdf,Khorne Daemon - Khorne Daemon Battleline (Karanak General),5,20,100,
Bloodcrushers,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-khorne-bloodcrushers-en.pdf,Khorne Daemon - Khorne Daemon Battleline (Skullmaster Herald of Khorne General),3,12,160,
Aether-eater Host,,Battalion,Formation,,140,
Changehost,,Battalion,Formation,,160,
Multitudinous Host,,Battalion,Formation,,200,
Omniscient Oracles,,Battalion,Formation,,110,
Overseer's Fate-twisters,,Battalion,Formation,,110,
The Eternal Conflagration,,Battalion,Formation,,140,
The Hosts Duplicitous,,Battalion,Formation,,150,
Warpflame Host,,Battalion,Formation,,80,
Screamers of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-screamers-of-tzeentch-en.pdf,Tzeentch Daemon,3,12,120,
Pink Horrors of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-pink-horrors-of-tzeentch-en.pdf,Tzeentch Daemon - Battleline,10,30,120,300
Burning Chariots of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-burning-chariot-of-tzeentch-en.pdf,Tzeentch Daemon - Tzeentch Daemon Battleline (Herald on Chariot General),1,3,160,
Herald of Tzeentch,,Tzeentch Daemon Wizard,1,,120,
Herald of Tzeentch on Burning Chariot,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-herald-tzeentch-burning-chariot-en.pdf,Tzeentch Daemon Wizard,1,,200,
Herald of Tzeentch on Disc,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-herald-tzeentch-disc-en.pdf,Tzeentch Daemon Wizard,1,,120,
The Blue Scribes,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-the-blue-scribes-en.pdf,Tzeentch Daemon Wizard - Unique ,1,,120,
The Changeling,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-the-changeling-en.pdf,Tzeentch Daemon Wizard - Unique ,1,,140,
Blue Horrors of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-blue-horrors-en.pdf,Tzeentch Daemons,10,30,50,120
Brimstone Horrors of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-brimstone-horrors-en.pdf,Tzeentch Daemons,10,30,40,100
Bloodbound Warband,,Battalion,Formation,,220,
Bloodbound Warhorde,,Battalion,Formation,,220,
Bloodforged,,Battalion,Battalion,,140,
Bloodstorm,,Battalion,Formation,,140,
Brass Stampede,,Battalion,Formation,,180,
Dark Feast,,Battalion,Formation,,200,
Gore Pilgrims,,Battalion,Formation,,180,
Goreblade Warband,,Battalion,Formation,,60,
Red Headsmen,,Battalion,Formation,,160,
Skulltake,,Battalion,Formation,,200,
Slaughterborn,,Battalion,Formation,,180,
The Gorechosen,,Battalion,Formation,,150,
The Goretide,,Battalion,Formation,,140,
The Skullfiend Tribe,,Battalion,Formation,,120,
Skaarac the Bloodborn,,Khorne - Unique Behemoth,1,,500,
Khorgoraths,,Khorne Bloodbound,1,6,80,
Aspiring Deathbringer,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-aspiringdeathbringer-en.pdf,Khorne Bloodbound Mortal,1,,80,
Aspiring Deathbringer with Goreaxe and Skullhammer,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-aspiringdeathbringer-goreaxe-en.pdf,Khorne Bloodbound Mortal,1,,100,
Bloodsecrator,https://www.games-workshop.com/resources/PDF/Downloads/Korghos_Bloodsecrator_CB_Web%20-%20cropped.pdf,Khorne Bloodbound Mortal,1,,120,
Bloodstoker,,Khorne Bloodbound Mortal,1,,80,
Exalted Deathbringer,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-exalteddeathbringer-en.pdf,Khorne Bloodbound Mortal,1,,80,
Exalted Deathbringer with Impaling Spear,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-exalteddeathbringer-impaling-en.pdf,Khorne Bloodbound Mortal,1,,80,
Lord of Khorne on Juggernaut,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-lordjuggernaught-en.pdf,Khorne Bloodbound Mortal,1,,140,
Mighty Lord of Khorne,,Khorne Bloodbound Mortal,1,,140,
Skullgrinder,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skullgrinder-en.pdf,Khorne Bloodbound Mortal,1,,80,
Slaughterpriest,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-slaughterpriest-en.pdf,Khorne Bloodbound Mortal,1,,100,
Slaughterpriest with Hackblade and Wrathhammer,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-slaughterpriest-hackblade-en.pdf,Khorne Bloodbound Mortal,1,,100,
Blood Warriors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bloodwarriors-en.pdf,Khorne Bloodbound Mortal - Battleline,5,30,100,520
Bloodreavers,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bloodreavers-en.pdf,Khorne Bloodbound Mortal - Battleline,10,40,70,240
Mighty Skullcrushers,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skullcrushers-en.pdf,Khorne Bloodbound Mortal - Khorne Bloodbound Battleline (Lord of Khorne on Juggernaut General),3,12,140,
Scyla Anfingrimm,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-scylaanfingrimm-en.pdf,Khorne Bloodbound Mortal - Unique ,1,,100,
Skarr Bloodwrath,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skarrbloodwrath-en.pdf,Khorne Bloodbound Mortal - Unique ,1,,80,
Valkia the Bloody,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-valkiathebloody-en.pdf,Khorne Bloodbound Mortal - Unique ,1,,140,
Skullreapers,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skullreapers-en.pdf,Khorne Mortal Bloodbound,5,20,180,
Wrathmongers,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-wrathmongers-en.pdf,Khorne Mortal Bloodbound,5,20,180,
Jabberslythe,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-jabberslythe-en.pdf,Behemoth,1,,120,
Centigors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-centigors-en.pdf,,5,20,80,
Chaos Warhounds,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-chaos-warhounds-en.pdf,,10,30,80,210
Harpies,,,5,20,70,
Razorgors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-razorgor-en.pdf,,1,6,60,
Alter Kin Coven,,Battalion,Formation,,70,
Arcanite Cabal,,Battalion,Formation,,100,
Arcanite Cult,,Battalion,Formation,,160,
Cult of the Transient Form,,Battalion,Formation,,160,
Skyshoal Coven,,Battalion,Formation,,130,
The Pyrofane Cult,,Battalion,Formation,,180,
Tzaangor Coven,,Battalion,Formation,,90,
Witchfyre Coven,,Battalion,Formation,,110,
Tzaangor Enlightened,,Tzeentch Arcanites,3,9,160,
Tzaangors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-tzaangors-en.pdf,Tzeentch Arcanites - Battleline,10,30,180,450
Tzaangor Enlightened on Disc,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-tzaangor-enlightened-en.pdf,Tzeentch Arcanites Daemon,3,,160,
Tzaangor Skyfires,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-tzaangor-skyfires-en.pdf,Tzeentch Arcanites Daemon,3,9,200,
Tzaangor Shaman,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-tzaangor-shaman-en.pdf,Tzeentch Arcanites Daemon Wizard,1,,160,
Kairic Acolytes,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-kairic-acolytes-en.pdf,Tzeentch Arcanites Mortal - Battleline,10,40,100,360
Fatemaster,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-fatemaster-en.pdf,Tzeentch Arcanites Mortal Daemon,1,,140,
Gaunt Summoner,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-gaunt-summoner-2016-en.pdf,Tzeentch Arcanites Mortal Daemon Wizard,1,,120,
Curseling Eye of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-cursling-eye-of-tzeentch-en.pdf,Tzeentch Arcanites Mortal Wizard,1,,140,
Magister,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-arcanites-magister-en.pdf,Tzeentch Arcanites Mortal Wizard,1,,120,
Ogroid Thaumaturge,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-ogroid-thaumaturge-en.pdf,Tzeentch Arcanites Mortal Wizard,1,,160,
Doombull,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-doombull-en.pdf,Warherd,1,,120,
Cygor,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-cygor-en.pdf,Warherd - Behemoth,1,,200,
Ghorgon,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-ghorgon-en.pdf,Warherd - Behemoth,1,,200,
Bullgors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bullgors-en.pdf,Warherd - Warherd Battleline,3,12,180,
Hellcannon,,Artillery,1,,300,
Bullgor Stampede,,Battalion,Formation,,120,
Furious Brayherd,,Battalion,Formation,,60,
Ungor Raiders Ambush,,Battalion,Formation,,100,
Wildstalker Brayherd,,Battalion,Formation,,240,
Changehost of Tzeentch,,Battalion,Formation,,60,
Daemon Cohort of Nurgle,,Battalion,Formation,,100,
Daemon Cohort of Slaneesh,,Battalion,Formation,,40,
Daemon Cohort of Tzeentch,,Battalion,Formation,,120,
Daemonettes of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls//aos-warscroll-daemonettes-of-slaanesh-en.pdf,Battleline,10,30,100,270
Mutalith Vortex Beast,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-mutalith-vortex-beast-en.pdf,Tzeentch - Behemoth,1,,200,
Slaughterbrute,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-slaughterbrute-en.pdf,Khorne - Behemoth,1,,180,
Furies,,Chaos Daemon,5,30,60,320
Daemon Prince,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-chaos-daemonprince-en.pdf,Chaos Daemon - Behemoth,1,,160,
Soul Grinder,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-soul-grinder-en.pdf,Chaos Daemon - Behemoth,1,,280,
Be'lakor Chaos Daemon Prince,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-chaos-belakor-en.pdf,Chaos Daemon - Unique Behemoth,1,,280,
Exalted Seekers of Slaanesh,,Slaanesh,1,,140,
Fiends of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-fiend-of-slaanesh-en.pdf,Slaanesh,3,9,140,
Herald of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-herald-of-slaanesh-en.pdf,Slaanesh,1,,60,
Herald of Slaanesh on Exalted Seeker Chariot,,Slaanesh,1,,160,
Herald of Slaanesh on Seeker Chariot,,Slaanesh,1,,100,
Seeker Chariots of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-seeker-chariot-of-slaanesh-en.pdf,Slaanesh - Slaanesh Battleline (Herald of Slaanesh on Exalted Seeker Chariot General),1,3,80,
Seekers of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-seekers-of-slaanesh-en.pdf,Slaanesh,5,20,120,
Keeper of Secrets,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-keeper-of-secrets-en.pdf,Slaanesh - Behemoth,1,,280,
The Masque of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-the-masque-of-slaanesh-en.pdf,Slaanesh - Unique ,1,,80,
Beasts of Nurgle,https://www.games-workshop.com/resources/PDF/Downloads//ENG-Beasts-of-nurgle.pdf,Nurgle Daemon,1,6,100,
Poxbringer Herald of Nurgle,,Nurgle Daemon Wizard,1,,120,
Spoilpox Scrivener Herald of Nurgle,,Nurgle Daemon,1,,100,
Sloppity Bilepiper Herald of Nurgle,https://www.games-workshop.com/resources/PDF/Downloads//ENG-Sloppity-bilepiper-herald-of-nurgle.pdf,Nurgle Daemon,1,,100,
Nurglings,,Nurgle Daemon,3,12,100,
Plague Drones,,Nurgle Daemon,3,12,200,
Plaguebearers,,Nurgle Daemon - Battleline,10,30,120,320
Daemon Prince of Nurgle,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-chaos-daemonprince-en.pdf,Nurgle Daemon - Behemoth,1,,160,
Great Unclean One,,Nurgle Daemon Wizard - Behemoth,1,,340,
Rotigus,https://www.games-workshop.com/resources/PDF/Downloads//ENG-Rotigus.pdf,Nurgle Daemon Wizard - Unique Behemoth,1,,340,
Epidemius Tallyman of Nurgle,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-epidemius-en.pdf,Nurgle Daemon - Unique ,1,,200,
Tallyband of Nurgle,,Battalion,Formation,,220,
The Munificent Wanderers,,Battalion,Formation,,180,
Nurgle's Menagerie,,Battalion,Formation,,240,
Thricefold Befoulment,,Battalion,Formation,,160,
Affliction Cyst,,Battalion,Formation,,220,
The Blessed Sons,,Battalion,Formation,,200,
Blight Cyst,,Battalion,Formation,,220,
Plague Cyst,,Battalion,Formation,,220,
Daemon Prince of Slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-chaos-daemonprince-en.pdf,Slaanesh Daemon - Behemoth,1,,160,
Exalted Flamers of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-exalted-flamer-of-tzeentch-en.pdf,Tzeentch Daemon,1,,120,
Flamers of Tzeentch,,Tzeentch Daemon,3,12,180,
Daemon Prince of Tzeentch,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-chaos-daemonprince-en.pdf,Tzeentch Daemon Wizard - Behemoth,1,,160,
Kairos Fateweaver,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-kairos-fateweaver-en.pdf,Tzeentch Daemon Wizard - Unique Behemoth,1,,340,
Festus the Leechlord,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-festus-the-leechlord-en.pdf,Nurgle Rotbringer Mortal Wizard - Unique ,1,,140,
Gutrot Spume,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-gutrot-spume-en.pdf,Nurgle Rotbringer Mortal - Unique ,1,,140,
The Glottkin,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-theglottkin-en.pdf,Nurgle Rotbringer Mortal Wizard - Unique Behemoth,1,,420,
Exalted Seeker Chariots of slaanesh,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-exalted-seeker-chariot-en.pdf,,1,3,140,
Lord of Plagues,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-lord-of-plagues-en.pdf,Nurgle Rotbringer Mortal,1,,140,
Lord of Blights,https://www.games-workshop.com/resources/PDF/Downloads//ENG-Lord-of-blights.pdf,Nurgle Rotbringer Mortal,1,,140,
Lord of Change,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-lord-of-change-en.pdf,Tzeentch Daemon Wizard - Behemoth,1,,300,
Reaper Bolt Thrower,,Artillery,1,,120,
Exiled Blood Cult,,Battalion,Formation,,80,
Exiled Warhost,,Battalion,Formation,,60,
Black Guard,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-black-guard-en.pdf,Darkling Covens - Darkling Covens Battleline,10,30,160,430
Executioners,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-executioners-en.pdf,Darkling Covens - Darkling Covens Battleline,10,30,180,480
Sorceress,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-sorceress-en.pdf,Darkling Covens,1,,80,
Thrall Warhost,,Darkling Covens - Battalion,Formation,,180,
